References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1, C12, C13, C14, C15, C17, C3, C5, C4, C2, C10, C9, C8, C7, C6, C11, C16",17,100nF axial,KEMET,C410C104M5U5TA7200,399-4454-1-ND,80C410C104M5UTR,,,1650914
D1,1,Power Diode,STMicroelectronics,STPS10L25D,497-2738-5-ND,511STPS10L25D,7958795,,9803360
F1,1,10A Fuse,Bel Fuse,0697H9100-01,507-1916-ND,5300697H910001,,,
J10,1,Connector Header pin 6P 6x1,JST,B6B-PH-K-S(LF)(SN),455-1708-ND,,8201447,,9492453
J13,1,Term block 2p side entry (3.5mm),On Shore Technology,ED550/2DS,ED1501-ND,,,,
"J14, J12",2,USB Conn ED2989-ND-USB,On Shore Technology,USB-A1HSW6,ED2989-ND,,,,
"J15, J16, J16",3,ED2580-ND,On Shore Technology,OSTTA024163,ED2580-ND,,,,
"J17, J25, J21, J20, J19, J24, J22, J18, J23, J26",10,Terminal block 6 pos side entry,On Shore Technology,OSTTE060104,ED2744-ND,,,,
"J5, J1, J4, J3, J2",5,Terminal block 6 pos top entry,On Shore Technology,OSTTF060161,ED2627-ND,,,,
"J7, J6",1,S9175-ND,Sullins,SBH11-PBPC-D20-ST-BK,S9175-ND,,,,
J8,1,6x1 Header Pin 0.1 Pitch 6posheader,Sullins,PRPC040SAAN-RC,S1011EC-40-ND,,,,
"J9, J11",2,S7038-ND,Sullins,PPPC051LFBN-RC,S7038-ND,,,,
R1,1,Resistor 4.7K 1/4 Watt,Stackpole Electronics,CF14JT4K70,CF14JT4K70CT-ND,,,,
R2,1,Resistor 10K 1/2 Watt,Stackpole Electronics,CFM12JT10K0,S10KHCT-ND,,,,
"R7, R9, R5, R3",4,Resistor 22K 1/4 Watt,Stackpole Electronics,CF14JT22K0,CF14JT22K0CT-ND,,,,
"R8, R10, R6, R4",4,Resistor 10K 1/4 Watt,Stackpole Electronics,CF14JT10K0,CF14JT10K0CT-ND,,,,
"RC4, RC2, RC1, RC3, RC5",5,Connector Header socket 20 2x10,Sullins,PPPC102LFBN-RC,S6106-ND,,,,
"U2, U1",2,LM358-N,Texas Instruments,LM358P,296-1395-5-ND,595LM358P,,,
"U2, U1",2,,ASSMANN WSW Components,A 08-LC-TT,AE9986-ND,,6742435,,
